Date,Time,Temp
18/01/2008,03:04:39,0.246
18/01/2008,03:34:39,0.246
18/01/2008,04:04:39,0.246
18/01/2008,04:34:39,0.246
18/01/2008,05:04:39,0.246
18/01/2008,05:34:39,0.218
18/01/2008,06:04:39,0.218
18/01/2008,06:34:39,0.218
18/01/2008,07:04:39,0.218
18/01/2008,07:34:39,0.218
18/01/2008,08:04:39,0.218
18/01/2008,08:34:39,0.218
18/01/2008,09:04:39,0.218
18/01/2008,09:34:39,0.218
18/01/2008,10:04:39,0.218
18/01/2008,10:34:39,0.218
18/01/2008,11:04:39,0.218
18/01/2008,11:34:39,0.218
18/01/2008,12:04:39,0.218
18/01/2008,12:34:39,0.218
18/01/2008,13:04:39,0.218
18/01/2008,13:34:39,0.218
18/01/2008,14:04:39,0.218
18/01/2008,14:34:39,0.218
18/01/2008,15:04:39,0.19
18/01/2008,15:34:39,0.19
18/01/2008,16:04:39,0.19
18/01/2008,16:34:39,0.19
18/01/2008,17:04:39,0.19
18/01/2008,17:34:39,0.19
18/01/2008,18:04:39,0.19
18/01/2008,18:34:39,0.19
18/01/2008,19:04:39,0.19
18/01/2008,19:34:39,0.19
18/01/2008,20:04:39,0.19
18/01/2008,20:34:39,0.19
18/01/2008,21:04:39,0.19
18/01/2008,21:34:39,0.218
18/01/2008,22:04:39,0.218
18/01/2008,22:34:39,0.19
18/01/2008,23:04:39,0.218
18/01/2008,23:34:39,0.218
19/01/2008,00:04:39,0.218
19/01/2008,00:34:39,0.218
19/01/2008,01:04:39,0.218
19/01/2008,01:34:39,0.218
19/01/2008,02:04:39,0.218
19/01/2008,02:34:39,0.218
19/01/2008,03:04:39,0.218
19/01/2008,03:34:39,0.218
19/01/2008,04:04:39,0.218
19/01/2008,04:34:39,0.218
19/01/2008,05:04:39,0.218
19/01/2008,05:34:39,0.218
19/01/2008,06:04:39,0.218
19/01/2008,06:34:39,0.218
19/01/2008,07:04:39,0.218
19/01/2008,07:34:39,0.246
19/01/2008,08:04:39,0.218
19/01/2008,08:34:39,0.218
19/01/2008,09:04:39,0.218
19/01/2008,09:34:39,0.218
19/01/2008,10:04:39,0.246
19/01/2008,10:34:39,0.246
19/01/2008,11:04:39,0.246
19/01/2008,11:34:39,0.246
19/01/2008,12:04:39,0.246
19/01/2008,12:34:39,0.246
19/01/2008,13:04:39,0.246
19/01/2008,13:34:39,0.246
19/01/2008,14:04:39,0.246
19/01/2008,14:34:39,0.246
19/01/2008,15:04:39,0.246
19/01/2008,15:34:39,0.246
19/01/2008,16:04:39,0.246
19/01/2008,16:34:39,0.246
19/01/2008,17:04:39,0.246
19/01/2008,17:34:39,0.246
19/01/2008,18:04:39,0.246
19/01/2008,18:34:39,0.246
19/01/2008,19:04:39,0.246
19/01/2008,19:34:39,0.246
19/01/2008,20:04:39,0.246
19/01/2008,20:34:39,0.246
19/01/2008,21:04:39,0.246
19/01/2008,21:34:39,0.246
19/01/2008,22:04:39,0.246
19/01/2008,22:34:39,0.246
19/01/2008,23:04:39,0.246
19/01/2008,23:34:39,0.246
20/01/2008,00:04:39,0.246
20/01/2008,00:34:39,0.246
20/01/2008,01:04:39,0.246
20/01/2008,01:34:39,0.246
20/01/2008,02:04:39,0.246
20/01/2008,02:34:39,0.246
20/01/2008,03:04:39,0.246
20/01/2008,03:34:39,0.246
20/01/2008,04:04:39,0.246
20/01/2008,04:34:39,0.246
20/01/2008,05:04:39,0.246
20/01/2008,05:34:39,0.246
20/01/2008,06:04:39,0.246
20/01/2008,06:34:39,0.246
20/01/2008,07:04:39,0.246
20/01/2008,07:34:39,0.246
20/01/2008,08:04:39,0.246
20/01/2008,08:34:39,0.246
20/01/2008,09:04:39,0.246
20/01/2008,09:34:39,0.246
20/01/2008,10:04:39,0.246
20/01/2008,10:34:39,0.246
20/01/2008,11:04:39,0.246
20/01/2008,11:34:39,0.246
20/01/2008,12:04:39,0.246
20/01/2008,12:34:39,0.246
20/01/2008,13:04:39,0.246
20/01/2008,13:34:39,0.246
20/01/2008,14:04:39,0.246
20/01/2008,14:34:39,0.246
20/01/2008,15:04:39,0.246
20/01/2008,15:34:39,0.246
20/01/2008,16:04:39,0.246
20/01/2008,16:34:39,0.246
20/01/2008,17:04:39,0.246
20/01/2008,17:34:39,0.246
20/01/2008,18:04:39,0.246
20/01/2008,18:34:39,0.246
20/01/2008,19:04:39,0.246
20/01/2008,19:34:39,0.246
20/01/2008,20:04:39,0.246
20/01/2008,20:34:39,0.246
20/01/2008,21:04:39,0.246
20/01/2008,21:34:39,0.246
20/01/2008,22:04:39,0.246
20/01/2008,22:34:39,0.246
20/01/2008,23:04:39,0.246
20/01/2008,23:34:39,0.246
21/01/2008,00:04:39,0.246
21/01/2008,00:34:39,0.246
21/01/2008,01:04:39,0.246
21/01/2008,01:34:39,0.246
21/01/2008,02:04:39,0.246
21/01/2008,02:34:39,0.246
21/01/2008,03:04:39,0.246
21/01/2008,03:34:39,0.246
21/01/2008,04:04:39,0.246
21/01/2008,04:34:39,0.246
21/01/2008,05:04:39,0.246
21/01/2008,05:34:39,0.246
21/01/2008,06:04:39,0.246
21/01/2008,06:34:39,0.246
21/01/2008,07:04:39,0.246
21/01/2008,07:34:39,0.246
21/01/2008,08:04:39,0.246
21/01/2008,08:34:39,0.246
21/01/2008,09:04:39,0.246
21/01/2008,09:34:39,0.246
21/01/2008,10:04:39,0.246
21/01/2008,10:34:39,0.246
21/01/2008,11:04:39,0.246
21/01/2008,11:34:39,0.246
21/01/2008,12:04:39,0.246
21/01/2008,12:34:39,0.246
21/01/2008,13:04:39,0.246
21/01/2008,13:34:39,0.246
21/01/2008,14:04:39,0.246
21/01/2008,14:34:39,0.246
21/01/2008,15:04:39,0.246
21/01/2008,15:34:39,0.246
21/01/2008,16:04:39,0.246
21/01/2008,16:34:39,0.246
21/01/2008,17:04:39,0.246
21/01/2008,17:34:39,0.246
21/01/2008,18:04:39,0.246
21/01/2008,18:34:39,0.246
21/01/2008,19:04:39,0.246
21/01/2008,19:34:39,0.246
21/01/2008,20:04:39,0.246
21/01/2008,20:34:39,0.246
21/01/2008,21:04:39,0.246
21/01/2008,21:34:39,0.246
21/01/2008,22:04:39,0.246
21/01/2008,22:34:39,0.246
21/01/2008,23:04:39,0.246
21/01/2008,23:34:39,0.246
22/01/2008,00:04:39,0.246
22/01/2008,00:34:39,0.246
22/01/2008,01:04:39,0.246
22/01/2008,01:34:39,0.246
22/01/2008,02:04:39,0.246
22/01/2008,02:34:39,0.246
22/01/2008,03:04:39,0.246
22/01/2008,03:34:39,0.246
22/01/2008,04:04:39,0.246
22/01/2008,04:34:39,0.246
22/01/2008,05:04:39,0.246
22/01/2008,05:34:39,0.246
22/01/2008,06:04:39,0.246
22/01/2008,06:34:39,0.246
22/01/2008,07:04:39,0.246
22/01/2008,07:34:39,0.246
22/01/2008,08:04:39,0.246
22/01/2008,08:34:39,0.246
22/01/2008,09:04:39,0.246
22/01/2008,09:34:39,0.246
22/01/2008,10:04:39,0.246
22/01/2008,10:34:39,0.246
22/01/2008,11:04:39,0.246
22/01/2008,11:34:39,0.246
22/01/2008,12:04:39,0.246
22/01/2008,12:34:39,0.246
22/01/2008,13:04:39,0.246
22/01/2008,13:34:39,0.246
22/01/2008,14:04:39,0.246
22/01/2008,14:34:39,0.246
22/01/2008,15:04:39,0.246
22/01/2008,15:34:39,0.246
22/01/2008,16:04:39,0.246
22/01/2008,16:34:39,0.246
22/01/2008,17:04:39,0.246
22/01/2008,17:34:39,0.218
22/01/2008,18:04:39,0.218
22/01/2008,18:34:39,0.218
22/01/2008,19:04:39,0.218
22/01/2008,19:34:39,0.218
22/01/2008,20:04:39,0.218
22/01/2008,20:34:39,0.218
22/01/2008,21:04:39,0.218
22/01/2008,21:34:39,0.218
22/01/2008,22:04:39,0.218
22/01/2008,22:34:39,0.218
22/01/2008,23:04:39,0.218
22/01/2008,23:34:39,0.218
23/01/2008,00:04:39,0.218
23/01/2008,00:34:39,0.218
23/01/2008,01:04:39,0.218
23/01/2008,01:34:39,0.218
23/01/2008,02:04:39,0.218
23/01/2008,02:34:39,0.218
23/01/2008,03:04:39,0.218
23/01/2008,03:34:39,0.218
23/01/2008,04:04:39,0.218
23/01/2008,04:34:39,0.218
23/01/2008,05:04:39,0.246
23/01/2008,05:34:39,0.218
23/01/2008,06:04:39,0.218
23/01/2008,06:34:39,0.246
23/01/2008,07:04:39,0.246
23/01/2008,07:34:39,0.218
23/01/2008,08:04:39,0.218
23/01/2008,08:34:39,0.246
23/01/2008,09:04:39,0.218
23/01/2008,09:34:39,0.218
23/01/2008,10:04:39,0.218
23/01/2008,10:34:39,0.218
23/01/2008,11:04:39,0.218
23/01/2008,11:34:39,0.218
23/01/2008,12:04:39,0.218
23/01/2008,12:34:39,0.218
23/01/2008,13:04:39,0.218
23/01/2008,13:34:39,0.218
23/01/2008,14:04:39,0.218
23/01/2008,14:34:39,0.218
23/01/2008,15:04:39,0.218
23/01/2008,15:34:39,0.218
23/01/2008,16:04:39,0.218
23/01/2008,16:34:39,0.218
23/01/2008,17:04:39,0.218
23/01/2008,17:34:39,0.218
23/01/2008,18:04:39,0.218
23/01/2008,18:34:39,0.218
23/01/2008,19:04:39,0.218
23/01/2008,19:34:39,0.218
23/01/2008,20:04:39,0.218
23/01/2008,20:34:39,0.218
23/01/2008,21:04:39,0.218
23/01/2008,21:34:39,0.218
23/01/2008,22:04:39,0.218
23/01/2008,22:34:39,0.218
23/01/2008,23:04:39,0.218
23/01/2008,23:34:39,0.218
24/01/2008,00:04:39,0.218
24/01/2008,00:34:39,0.218
24/01/2008,01:04:39,0.218
24/01/2008,01:34:39,0.218
24/01/2008,02:04:39,0.218
24/01/2008,02:34:39,0.218
24/01/2008,03:04:39,0.218
24/01/2008,03:34:39,0.218
24/01/2008,04:04:39,0.218
24/01/2008,04:34:39,0.218
24/01/2008,05:04:39,0.218
24/01/2008,05:34:39,0.218
24/01/2008,06:04:39,0.218
24/01/2008,06:34:39,0.218
24/01/2008,07:04:39,0.218
24/01/2008,07:34:39,0.218
24/01/2008,08:04:39,0.218
24/01/2008,08:34:39,0.218
24/01/2008,09:04:39,0.218
24/01/2008,09:34:39,0.218
24/01/2008,10:04:39,0.218
24/01/2008,10:34:39,0.218
24/01/2008,11:04:39,0.218
24/01/2008,11:34:39,0.218
24/01/2008,12:04:39,0.218
24/01/2008,12:34:39,0.218
24/01/2008,13:04:39,0.218
24/01/2008,13:34:39,0.218
24/01/2008,14:04:39,0.218
24/01/2008,14:34:39,0.218
24/01/2008,15:04:39,0.218
24/01/2008,15:34:39,0.218
24/01/2008,16:04:39,0.218
24/01/2008,16:34:39,0.218
24/01/2008,17:04:39,0.218
24/01/2008,17:34:39,0.218
24/01/2008,18:04:39,0.218
24/01/2008,18:34:39,0.218
24/01/2008,19:04:39,0.218
24/01/2008,19:34:39,0.218
24/01/2008,20:04:39,0.218
24/01/2008,20:34:39,0.218
24/01/2008,21:04:39,0.218
24/01/2008,21:34:39,0.218
24/01/2008,22:04:39,0.218
24/01/2008,22:34:39,0.218
24/01/2008,23:04:39,0.218
24/01/2008,23:34:39,0.218
25/01/2008,00:04:39,0.218
25/01/2008,00:34:39,0.218
25/01/2008,01:04:39,0.218
25/01/2008,01:34:39,0.218
25/01/2008,02:04:39,0.218
25/01/2008,02:34:39,0.218
25/01/2008,03:04:39,0.218
25/01/2008,03:34:39,0.218
25/01/2008,04:04:39,0.218
25/01/2008,04:34:39,0.218
25/01/2008,05:04:39,0.218
25/01/2008,05:34:39,0.218
25/01/2008,06:04:39,0.19
25/01/2008,06:34:39,0.218
25/01/2008,07:04:39,0.218
25/01/2008,07:34:39,0.19
25/01/2008,08:04:39,0.19
25/01/2008,08:34:39,0.19
25/01/2008,09:04:39,0.19
25/01/2008,09:34:39,0.19
25/01/2008,10:04:39,0.19
25/01/2008,10:34:39,0.19
25/01/2008,11:04:39,0.19
25/01/2008,11:34:39,0.19
25/01/2008,12:04:39,0.19
25/01/2008,12:34:39,0.218
25/01/2008,13:04:39,0.19
25/01/2008,13:34:39,0.19
25/01/2008,14:04:39,0.19
25/01/2008,14:34:39,0.19
25/01/2008,15:04:39,0.218
25/01/2008,15:34:39,0.19
25/01/2008,16:04:39,0.218
25/01/2008,16:34:39,0.218
25/01/2008,17:04:39,0.218
25/01/2008,17:34:39,0.19
25/01/2008,18:04:39,0.19
25/01/2008,18:34:39,0.19
25/01/2008,19:04:39,0.19
25/01/2008,19:34:39,0.19
25/01/2008,20:04:39,0.19
25/01/2008,20:34:39,0.19
25/01/2008,21:04:39,0.19
25/01/2008,21:34:39,0.19
25/01/2008,22:04:39,0.19
25/01/2008,22:34:39,0.19
25/01/2008,23:04:39,0.19
25/01/2008,23:34:39,0.19
26/01/2008,00:04:39,0.19
26/01/2008,00:34:39,0.19
26/01/2008,01:04:39,0.19
26/01/2008,01:34:39,0.19
26/01/2008,02:04:39,0.19
26/01/2008,02:34:39,0.19
26/01/2008,03:04:39,0.19
26/01/2008,03:34:39,0.19
26/01/2008,04:04:39,0.19
26/01/2008,04:34:39,0.19
26/01/2008,05:04:39,0.19
26/01/2008,05:34:39,0.19
26/01/2008,06:04:39,0.19
26/01/2008,06:34:39,0.19
26/01/2008,07:04:39,0.19
26/01/2008,07:34:39,0.19
26/01/2008,08:04:39,0.19
26/01/2008,08:34:39,0.19
26/01/2008,09:04:39,0.19
26/01/2008,09:34:39,0.19
26/01/2008,10:04:39,0.19
26/01/2008,10:34:39,0.19
26/01/2008,11:04:39,0.19
26/01/2008,11:34:39,0.19
26/01/2008,12:04:39,0.19
26/01/2008,12:34:39,0.19
26/01/2008,13:04:39,0.19
26/01/2008,13:34:39,0.19
26/01/2008,14:04:39,0.19
26/01/2008,14:34:39,0.19
26/01/2008,15:04:39,0.19
26/01/2008,15:34:39,0.19
26/01/2008,16:04:39,0.19
26/01/2008,16:34:39,0.19
26/01/2008,17:04:39,0.19
26/01/2008,17:34:39,0.19
26/01/2008,18:04:39,0.19
26/01/2008,18:34:39,0.19
26/01/2008,19:04:39,0.19
26/01/2008,19:34:39,0.19
26/01/2008,20:04:39,0.19
26/01/2008,20:34:39,0.19
26/01/2008,21:04:39,0.19
26/01/2008,21:34:39,0.19
26/01/2008,22:04:39,0.19
26/01/2008,22:34:39,0.19
26/01/2008,23:04:39,0.19
26/01/2008,23:34:39,0.19
27/01/2008,00:04:39,0.19
27/01/2008,00:34:39,0.19
27/01/2008,01:04:39,0.19
27/01/2008,01:34:39,0.19
27/01/2008,02:04:39,0.19
27/01/2008,02:34:39,0.19
27/01/2008,03:04:39,0.19
27/01/2008,03:34:39,0.19
27/01/2008,04:04:39,0.19
27/01/2008,04:34:39,0.19
27/01/2008,05:04:39,0.19
27/01/2008,05:34:39,0.19
27/01/2008,06:04:39,0.19
27/01/2008,06:34:39,0.19
27/01/2008,07:04:39,0.19
27/01/2008,07:34:39,0.19
27/01/2008,08:04:39,0.19
27/01/2008,08:34:39,0.19
27/01/2008,09:04:39,0.19
27/01/2008,09:34:39,0.19
27/01/2008,10:04:39,0.19
27/01/2008,10:34:39,0.19
27/01/2008,11:04:39,0.19
27/01/2008,11:34:39,0.19
27/01/2008,12:04:39,0.19
27/01/2008,12:34:39,0.19
27/01/2008,13:04:39,0.19
27/01/2008,13:34:39,0.19
27/01/2008,14:04:39,0.19
27/01/2008,14:34:39,0.19
27/01/2008,15:04:39,0.19
27/01/2008,15:34:39,0.19
27/01/2008,16:04:39,0.19
27/01/2008,16:34:39,0.19
27/01/2008,17:04:39,0.19
27/01/2008,17:34:39,0.19
27/01/2008,18:04:39,0.19
27/01/2008,18:34:39,0.19
27/01/2008,19:04:39,0.19
27/01/2008,19:34:39,0.19
27/01/2008,20:04:39,0.19
27/01/2008,20:34:39,0.19
27/01/2008,21:04:39,0.19
27/01/2008,21:34:39,0.19
27/01/2008,22:04:39,0.19
27/01/2008,22:34:39,0.19
27/01/2008,23:04:39,0.19
27/01/2008,23:34:39,0.19
28/01/2008,00:04:39,0.19
28/01/2008,00:34:39,0.19
28/01/2008,01:04:39,0.19
28/01/2008,01:34:39,0.19
28/01/2008,02:04:39,0.19
28/01/2008,02:34:39,0.19
28/01/2008,03:04:39,0.19
28/01/2008,03:34:39,0.19
28/01/2008,04:04:39,0.19
28/01/2008,04:34:39,0.19
28/01/2008,05:04:39,0.19
28/01/2008,05:34:39,0.19
28/01/2008,06:04:39,0.19
28/01/2008,06:34:39,0.19
28/01/2008,07:04:39,0.19
28/01/2008,07:34:39,0.19
28/01/2008,08:04:39,0.19
28/01/2008,08:34:39,0.19
28/01/2008,09:04:39,0.19
28/01/2008,09:34:39,0.19
28/01/2008,10:04:39,0.19
28/01/2008,10:34:39,0.19
28/01/2008,11:04:39,0.19
28/01/2008,11:34:39,0.19
28/01/2008,12:04:39,0.19
28/01/2008,12:34:39,0.19
28/01/2008,13:04:39,0.19
28/01/2008,13:34:39,0.19
28/01/2008,14:04:39,0.19
28/01/2008,14:34:39,0.19
28/01/2008,15:04:39,0.19
28/01/2008,15:34:39,0.19
28/01/2008,16:04:39,0.19
28/01/2008,16:34:39,0.19
28/01/2008,17:04:39,0.19
28/01/2008,17:34:39,0.19
28/01/2008,18:04:39,0.19
28/01/2008,18:34:39,0.19
28/01/2008,19:04:39,0.19
28/01/2008,19:34:39,0.19
28/01/2008,20:04:39,0.19
28/01/2008,20:34:39,0.19
28/01/2008,21:04:39,0.19
28/01/2008,21:34:39,0.19
28/01/2008,22:04:39,0.19
28/01/2008,22:34:39,0.19
28/01/2008,23:04:39,0.19
28/01/2008,23:34:39,0.19
29/01/2008,00:04:39,0.19
29/01/2008,00:34:39,0.19
29/01/2008,01:04:39,0.19
29/01/2008,01:34:39,0.19
29/01/2008,02:04:39,0.19
29/01/2008,02:34:39,0.19
29/01/2008,03:04:39,0.19
29/01/2008,03:34:39,0.19
29/01/2008,04:04:39,0.19
29/01/2008,04:34:39,0.19
29/01/2008,05:04:39,0.19
29/01/2008,05:34:39,0.19
29/01/2008,06:04:39,0.19
29/01/2008,06:34:39,0.19
29/01/2008,07:04:39,0.19
29/01/2008,07:34:39,0.19
29/01/2008,08:04:39,0.19
29/01/2008,08:34:39,0.19
29/01/2008,09:04:39,0.19
29/01/2008,09:34:39,0.19
29/01/2008,10:04:39,0.19
29/01/2008,10:34:39,0.19
29/01/2008,11:04:39,0.19
29/01/2008,11:34:39,0.19
29/01/2008,12:04:39,0.19
29/01/2008,12:34:39,0.19
29/01/2008,13:04:39,0.19
29/01/2008,13:34:39,0.19
29/01/2008,14:04:39,0.19
29/01/2008,14:34:39,0.19
29/01/2008,15:04:39,0.19
29/01/2008,15:34:39,0.19
29/01/2008,16:04:39,0.19
29/01/2008,16:34:39,0.19
29/01/2008,17:04:39,0.19
29/01/2008,17:34:39,0.19
29/01/2008,18:04:39,0.19
29/01/2008,18:34:39,0.19
29/01/2008,19:04:39,0.19
29/01/2008,19:34:39,0.19
29/01/2008,20:04:39,0.19
29/01/2008,20:34:39,0.19
29/01/2008,21:04:39,0.19
29/01/2008,21:34:39,0.19
29/01/2008,22:04:39,0.19
29/01/2008,22:34:39,0.19
29/01/2008,23:04:39,0.19
29/01/2008,23:34:39,0.19
30/01/2008,00:04:39,0.19
30/01/2008,00:34:39,0.19
30/01/2008,01:04:39,0.19
30/01/2008,01:34:39,0.19
30/01/2008,02:04:39,0.19
30/01/2008,02:34:39,0.19
30/01/2008,03:04:39,0.19
30/01/2008,03:34:39,0.19
30/01/2008,04:04:39,0.19
30/01/2008,04:34:39,0.19
30/01/2008,05:04:39,0.19
30/01/2008,05:34:39,0.19
30/01/2008,06:04:39,0.19
30/01/2008,06:34:39,0.19
30/01/2008,07:04:39,0.19
30/01/2008,07:34:39,0.19
30/01/2008,08:04:39,0.19
30/01/2008,08:34:39,0.19
30/01/2008,09:04:39,0.19
30/01/2008,09:34:39,0.19
30/01/2008,10:04:39,0.19
30/01/2008,10:34:39,0.19
30/01/2008,11:04:39,0.19
30/01/2008,11:34:39,0.19
30/01/2008,12:04:39,0.19
30/01/2008,12:34:39,0.19
30/01/2008,13:04:39,0.19
30/01/2008,13:34:39,0.19
30/01/2008,14:04:39,0.19
30/01/2008,14:34:39,0.19
30/01/2008,15:04:39,0.19
30/01/2008,15:34:39,0.19
30/01/2008,16:04:39,0.19
30/01/2008,16:34:39,0.19
30/01/2008,17:04:39,0.19
30/01/2008,17:34:39,0.19
30/01/2008,18:04:39,0.19
30/01/2008,18:34:39,0.19
30/01/2008,19:04:39,0.19
30/01/2008,19:34:39,0.19
30/01/2008,20:04:39,0.19
30/01/2008,20:34:39,0.19
30/01/2008,21:04:39,0.19
30/01/2008,21:34:39,0.19
30/01/2008,22:04:39,0.19
30/01/2008,22:34:39,0.19
30/01/2008,23:04:39,0.19
30/01/2008,23:34:39,0.19
31/01/2008,00:04:39,0.19
31/01/2008,00:34:39,0.19
31/01/2008,01:04:39,0.19
31/01/2008,01:34:39,0.19
31/01/2008,02:04:39,0.19
31/01/2008,02:34:39,0.19
31/01/2008,03:04:39,0.19
31/01/2008,03:34:39,0.19
31/01/2008,04:04:39,0.19
31/01/2008,04:34:39,0.19
31/01/2008,05:04:39,0.19
31/01/2008,05:34:39,0.19
31/01/2008,06:04:39,0.19
31/01/2008,06:34:39,0.19
31/01/2008,07:04:39,0.19
31/01/2008,07:34:39,0.19
31/01/2008,08:04:39,0.19
31/01/2008,08:34:39,0.19
31/01/2008,09:04:39,0.19
31/01/2008,09:34:39,0.19
31/01/2008,10:04:39,0.19
31/01/2008,10:34:39,0.19
31/01/2008,11:04:39,0.19
31/01/2008,11:34:39,0.19
31/01/2008,12:04:39,0.19
31/01/2008,12:34:39,0.19
31/01/2008,13:04:39,0.19
31/01/2008,13:34:39,0.19
31/01/2008,14:04:39,0.19
31/01/2008,14:34:39,0.19
31/01/2008,15:04:39,0.19
31/01/2008,15:34:39,0.19
31/01/2008,16:04:39,0.19
31/01/2008,16:34:39,0.19
31/01/2008,17:04:39,0.19
31/01/2008,17:34:39,0.19
31/01/2008,18:04:39,0.19
31/01/2008,18:34:39,0.19
31/01/2008,19:04:39,0.19
31/01/2008,19:34:39,0.19
31/01/2008,20:04:39,0.19
31/01/2008,20:34:39,0.19
31/01/2008,21:04:39,0.19
31/01/2008,21:34:39,0.19
31/01/2008,22:04:39,0.19
31/01/2008,22:34:39,0.19
31/01/2008,23:04:39,0.19
31/01/2008,23:34:39,0.19
01/02/2008,00:04:39,0.19
01/02/2008,00:34:39,0.19
01/02/2008,01:04:39,0.19
01/02/2008,01:34:39,0.19
01/02/2008,02:04:39,0.19
01/02/2008,02:34:39,0.19
01/02/2008,03:04:39,0.19
01/02/2008,03:34:39,0.19
01/02/2008,04:04:39,0.19
01/02/2008,04:34:39,0.19
01/02/2008,05:04:39,0.19
01/02/2008,05:34:39,0.19
01/02/2008,06:04:39,0.19
01/02/2008,06:34:39,0.19
01/02/2008,07:04:39,0.19
01/02/2008,07:34:39,0.19
01/02/2008,08:04:39,0.19
01/02/2008,08:34:39,0.19
01/02/2008,09:04:39,0.19
01/02/2008,09:34:39,0.19
01/02/2008,10:04:39,0.19
01/02/2008,10:34:39,0.19
01/02/2008,11:04:39,0.19
01/02/2008,11:34:39,0.19
01/02/2008,12:04:39,0.19
01/02/2008,12:34:39,0.19
01/02/2008,13:04:39,0.19
01/02/2008,13:34:39,0.19
01/02/2008,14:04:39,0.19
01/02/2008,14:34:39,0.19
01/02/2008,15:04:39,0.19
01/02/2008,15:34:39,0.19
01/02/2008,16:04:39,0.19
01/02/2008,16:34:39,0.19
01/02/2008,17:04:39,0.19
01/02/2008,17:34:39,0.19
01/02/2008,18:04:39,0.19
01/02/2008,18:34:39,0.19
01/02/2008,19:04:39,0.19
01/02/2008,19:34:39,0.19
01/02/2008,20:04:39,0.19
01/02/2008,20:34:39,0.19
01/02/2008,21:04:39,0.19
01/02/2008,21:34:39,0.19
01/02/2008,22:04:39,0.19
01/02/2008,22:34:39,0.19
01/02/2008,23:04:39,0.19
01/02/2008,23:34:39,0.19
02/02/2008,00:04:39,0.19
02/02/2008,00:34:39,0.19
02/02/2008,01:04:39,0.19
02/02/2008,01:34:39,0.19
02/02/2008,02:04:39,0.19
02/02/2008,02:34:39,0.19
02/02/2008,03:04:39,0.19
02/02/2008,03:34:39,0.19
02/02/2008,04:04:39,0.19
02/02/2008,04:34:39,0.19
02/02/2008,05:04:39,0.19
02/02/2008,05:34:39,0.19
02/02/2008,06:04:39,0.19
02/02/2008,06:34:39,0.19
02/02/2008,07:04:39,0.19
02/02/2008,07:34:39,0.19
02/02/2008,08:04:39,0.19
02/02/2008,08:34:39,0.19
02/02/2008,09:04:39,0.19
02/02/2008,09:34:39,0.19
02/02/2008,10:04:39,0.19
02/02/2008,10:34:39,0.19
02/02/2008,11:04:39,0.19
02/02/2008,11:34:39,0.19
02/02/2008,12:04:39,0.19
02/02/2008,12:34:39,0.19
02/02/2008,13:04:39,0.19
02/02/2008,13:34:39,0.19
02/02/2008,14:04:39,0.19
02/02/2008,14:34:39,0.19
02/02/2008,15:04:39,0.19
02/02/2008,15:34:39,0.19
02/02/2008,16:04:39,0.19
02/02/2008,16:34:39,0.19
02/02/2008,17:04:39,0.19
02/02/2008,17:34:39,0.19
02/02/2008,18:04:39,0.19
02/02/2008,18:34:39,0.19
02/02/2008,19:04:39,0.19
02/02/2008,19:34:39,0.19
02/02/2008,20:04:39,0.19
02/02/2008,20:34:39,0.19
02/02/2008,21:04:39,0.19
02/02/2008,21:34:39,0.19
02/02/2008,22:04:39,0.19
02/02/2008,22:34:39,0.19
02/02/2008,23:04:39,0.19
02/02/2008,23:34:39,0.19
03/02/2008,00:04:39,0.19
03/02/2008,00:34:39,0.19
03/02/2008,01:04:39,0.19
03/02/2008,01:34:39,0.19
03/02/2008,02:04:39,0.19
03/02/2008,02:34:39,0.19
03/02/2008,03:04:39,0.19
03/02/2008,03:34:39,0.19
03/02/2008,04:04:39,0.19
03/02/2008,04:34:39,0.19
03/02/2008,05:04:39,0.19
03/02/2008,05:34:39,0.19
03/02/2008,06:04:39,0.19
03/02/2008,06:34:39,0.19
03/02/2008,07:04:39,0.19
03/02/2008,07:34:39,0.19
03/02/2008,08:04:39,0.19
03/02/2008,08:34:39,0.19
03/02/2008,09:04:39,0.19
03/02/2008,09:34:39,0.19
03/02/2008,10:04:39,0.19
03/02/2008,10:34:39,0.19
03/02/2008,11:04:39,0.19
03/02/2008,11:34:39,0.19
03/02/2008,12:04:39,0.19
03/02/2008,12:34:39,0.19
03/02/2008,13:04:39,0.19
03/02/2008,13:34:39,0.163
03/02/2008,14:04:39,0.163
03/02/2008,14:34:39,0.163
03/02/2008,15:04:39,0.163
03/02/2008,15:34:39,0.163
03/02/2008,16:04:39,0.163
03/02/2008,16:34:39,0.163
03/02/2008,17:04:39,0.163
03/02/2008,17:34:39,0.163
03/02/2008,18:04:39,0.163
03/02/2008,18:34:39,0.163
03/02/2008,19:04:39,0.135
03/02/2008,19:34:39,0.135
03/02/2008,20:04:39,0.135
03/02/2008,20:34:39,0.135
03/02/2008,21:04:39,0.135
03/02/2008,21:34:39,0.135
03/02/2008,22:04:39,0.135
03/02/2008,22:34:39,0.135
03/02/2008,23:04:39,0.135
03/02/2008,23:34:39,0.135
04/02/2008,00:04:39,0.135
04/02/2008,00:34:39,0.135
04/02/2008,01:04:39,0.135
04/02/2008,01:34:39,0.135
04/02/2008,02:04:39,0.135
04/02/2008,02:34:39,0.135
04/02/2008,03:04:39,0.135
04/02/2008,03:34:39,0.135
04/02/2008,04:04:39,0.135
04/02/2008,04:34:39,0.135
04/02/2008,05:04:39,0.135
04/02/2008,05:34:39,0.135
